Are you enrolled in Trinity College of Arts and Sciences or the Pratt School of Engineering?,Are you of Hispanic/Latino/Spanish origin?,How would you best describe yourself?,What is your gender?,What is your sexual orientation?,Are you a first-generation college student?,Are you a recruited varsity athlete?,Are you an international student?,Which state do you live in (please enter the postal abbreviation)?,What is the ZIP Code of your home address?,What is your home city?,What is your home country?,What type of community are you from?,What do you estimate is your immediate family's total annual income?,Do you receive financial aid from Duke?,Which major are you most inclined towards?,Which of the following most influenced your decision to attend Duke?,How interested are you in Greek life at Duke?,How interested are you in non-Greek selective living groups at Duke?,Are you more or less likely to rush if the recruitment process were to be online?,What is your primary motivation for wanting to rush?,Which of the following best describes your living situation this semester?,What was your primary reason for staying home?,Are you planning to come to campus/Durham in the spring?,What are your plans for the spring?,Did you receive additional COVID-19 relief funds from Duke? (in addition to financial aid package),What do you think of the amount received?,Have you tested positive for COVID-19 (while on campus)?,Has someone you know tested positive for COVID-19 (while on campus)?,Share your opinions on... - The Duke Compact,Share your opinions on... - Duke's enforcement of the Duke Compact,Share your opinions on... - First-year fall housing arrangements,How many in-person classes are you in this semester?,Are you in a FOCUS?,How many of your FOCUS classes are in-person (not including the FOCUS “dinner”)?,Have you been able to find community this year?,Where have you primarily found community?,How much do you think the pandemic has negatively affected your ability to find community?,How likely are you to abide by the following elements of the Duke Compact: - Wearing a mask or face covering in all public spaces,How likely are you to abide by the following elements of the Duke Compact: - Monitoring and reporting symptoms through the SymMon app,How likely are you to abide by the following elements of the Duke Compact: - Avoiding large gatherings of 10+ people,How likely are you to abide by the following elements of the Duke Compact: - Engaging in physical distancing,How likely are your peers to abide by the following elements of the Duke Compact: - Wearing a mask or face covering in all public spaces,How likely are your peers to abide by the following elements of the Duke Compact: - Monitoring and reporting symptoms through the SymMon app,How likely are your peers to abide by the following elements of the Duke Compact: - Avoiding large gatherings of 10+ people,How likely are your peers to abide by the following elements of the Duke Compact: - Engaging in physical distancing,How likely are you to report violations to the Duke Compact?,Were your summer and/or travel plans affected by the pandemic?,Has any member of your household lost their job or been furloughed due to the pandemic?,Have any of your family members or close contacts died from COVID-19?,What was your high school GPA (scaled on a 0 to 4.00 scale)?,Did you take the SAT or ACT?,What was your SAT combined score?,What was your ACT composite score?,What type of secondary school did you attend?,Did you hire a private college admissions counselor during the admissions process?,How many colleges and universities did you apply to?,How many colleges and universities were you accepted to?,Did you apply to Duke via the Early Decision process?,Were you accepted off the waitlist from Duke?,Was Duke your first choice?,Did any of your parents or siblings attend Duke?,Which best describes your religion?,How religious would you say you are?,How would you describe your political beliefs?,Did you / are you planning to vote in the 2020 election?,Who did you vote for / who are you planning to vote for?,Did you / are you planning to vote at your home or in Durham?,Did you vote in the primary election?,Have you done any of the following?,Have you received treatment for your mental health before?,Are you currently receiving treatment for your mental health?,In which format do you read The Chronicle?
Trinity,Yes,"White,American Indian or Alaska Native",Cis Man,Heterosexual,No,No,No,IA,50014,,,Suburban,"$125,000-$250,000",Yes,"Program II (self-designed degree, BA or BS)",Financial aid award / scholarship,Not interested at all,Slightly interested,Neither more or less likely,Cultural connection,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Somewhat favorable,Strongly favorable,1,Yes,0,Somewhat agree,Classes,A lot,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Neither likely or unlikely,Moderately unlikely,Moderately unlikely,Yes,No,No,4,ACT,,36,Public (non-charter),No,18,14,No,No,No,No,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Print
Trinity,No,White,Cis Woman,Heterosexual,No,No,No,MA,02030,,,Suburban,"Above $500,000",No,Public Policy Studies,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly favorable,Somewhat favorable,0,No,,Somewhat agree,Other,A great deal,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Moderately likely,Yes,No,No,3.89,"SAT,ACT",1420,32,Public (non-charter),No,15,5,Yes,No,Yes,Yes,Catholic,Religious,Very conservative,Yes,Donald Trump,Home (Not Durham),Yes,,No,,Neither
Trinity,No,Black or African American,Cis Woman,Bisexual,No,No,No,MD,21228,,,Suburban,"$80,000-$125,000",Yes,Psychology,Academics and interdisciplinary curriculum,Slightly interested,Very interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Somewhat favorable,Somewhat favorable,1,No,,Somewhat agree,Dorm,A moderate amount,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Very unlikely,No,No,No,4,"SAT,ACT",1410,29,Private (non-denominational),No,10,2,Yes,No,Yes,No,Other,Not very religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Ineligible to vote,"Drank alcohol,Obtained a fake ID",Yes,No,Neither
Pratt,No,Asian,Cis Woman,Gay/Homosexual/Lesbian,No,No,No,IL,60089,,,Suburban,"$250,000-$500,000",No,Mechanical Engineering,Academics and interdisciplinary curriculum,Not interested at all,Moderately interested,Less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat unfavorable,Strongly favorable,2,No,,Neither agree nor disagree,Clubs/Extracurriculars,A great deal,Very likely,Very likely,Moderately Likely,Moderately Likely,Neither likely or unlikely,Very likely,Moderately unlikely,Moderately unlikely,Moderately unlikely,Yes,No,No,3.8,ACT,,35,Public (non-charter),No,12,6,No,No,No,No,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Used drugs",No,,Neither
Pratt,No,Asian,Cis Woman,Heterosexual,No,No,No,Iowa,50014,,,Rural,"$250,000-$500,000",No,Biomedical Engineering,"Duke’s ""brand name""",Moderately interested,Moderately interested,Much more likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly favorable,Strongly favorable,2,No,,Strongly disagree,Dorm,A great deal,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Yes,No,No,4,"SAT,ACT",,33,Public (non-charter),No,32,15,No,Yes,No,No,Atheist,Not at all religious,Moderate,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Print
Pratt,No,White,Cis Man,Heterosexual,Yes,No,No,NE,68152,,,Suburban,"$40,000-$80,000",Yes,Mechanical Engineering,Financial aid award / scholarship,Slightly interested,Slightly interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,No opinion,Somewhat unfavorable,Strongly favorable,1,No,,Somewhat disagree,Clubs/Extracurriculars,A moderate amount,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,3.99,ACT,,35,Private (parochial),No,6,4,No,No,No,No,Catholic,Very religious,Very conservative,Yes,Donald Trump,Home (Not Durham),Yes,"Drank alcohol,Used drugs,Had sex",No,,Neither
Trinity,No,Asian,Cis Woman,Heterosexual,No,No,No,WA,98006,,,Suburban,"$125,000-$250,000",No,Biomedical Engineering,Student life / campus culture,Not interested at all,Slightly interested,Less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat unfavorable,Strongly favorable,2,No,,Somewhat agree,Dorm,A moderate amount,Very likely,Very likely,Moderately Likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Neither likely or unlikely,Neither likely or unlikely,Neither likely nor unlikely,Yes,No,No,4,ACT,,36,Public (non-charter),No,8,1,Yes,No,Yes,No,Atheist,Not at all religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Online
Trinity,No,White,Cis Man,Heterosexual,No,No,No,MA,02633,,,Rural,"$80,000-$125,000",Yes,Computer Science,Student life / campus culture,Not interested at all,Slightly interested,Neither more or less likely,Preprofessional opportunities / alumni network,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat unfavorable,Strongly favorable,3,No,,Somewhat agree,Dorm,A lot,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Very likely,Neither likely or unlikely,Moderately unlikely,Neither likely nor unlikely,Yes,No,No,3.9,"SAT,ACT",1570,35,Public (non-charter),No,11,5,No,No,No,No,Agnostic,Not very religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Print and Online
Trinity,No,Asian,Cis Man,Gay/Homosexual/Lesbian,Yes,No,No,CA,90623,,,Urban,"Below $40,000",Yes,"Program II (self-designed degree, BA or BS)",Academics and interdisciplinary curriculum,Not interested at all,Moderately interested,Less likely,Wanting to belong in a social group,At Home,Financial reasons,Unsure,,No,,,,Strongly favorable,Somewhat favorable,Somewhat favorable,0,No,,Neither agree nor disagree,Other,A great deal,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Moderately likely,No,Yes — lost their job,No,3.9,SAT,1510,,Public (non-charter),No,,,Yes,No,Yes,No,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Ineligible to vote,,No,,Neither
Trinity,Yes,White,Cis Woman,Heterosexual,No,No,No,FL,33178,,,Suburban,"Above $500,000",No,Biology,Student life / campus culture,Very interested,Moderately interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly favorable,Somewhat unfavorable,2,No,,Strongly disagree,Clubs/Extracurriculars,A great deal,Very likely,Very likely,Moderately Likely,Moderately Likely,Neither likely or unlikely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Moderately unlikely,Yes,No,No,4,SAT,1530,,Private (parochial),No,15,14,No,No,Yes,No,Catholic,Very religious,Moderate,Yes,Donald Trump,Home (Not Durham),No,"Drank alcohol,Obtained a fake ID",No,,Online
Trinity,No,Asian,Cis Man,Heterosexual,No,No,No,NC,27523,,,Suburban,"$250,000-$500,000",No,Computer Science,Academics and interdisciplinary curriculum,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Going back home,No,,No,No,Strongly favorable,Somewhat unfavorable,Somewhat favorable,1,No,,Neither agree nor disagree,Other,A lot,Very likely,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately unlikely,Very unlikely,Neither likely nor unlikely,Yes,No,No,4,"SAT,ACT",1560,36,Public (non-charter),No,10,3,No,No,No,No,Atheist,Not at all religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),No,,No,,Neither
Pratt,No,Other,Cis Man,Heterosexual,No,No,No,NC,27587,,,Suburban,"$80,000-$125,000",Yes,Electrical and Computer Engineering,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,Wanting to belong in a social group,At Home,Safety concerns,Yes - to campus,,No,,,,Somewhat favorable,Strongly favorable,Strongly favorable,0,No,,Somewhat disagree,Classes,A great deal,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately likely,Yes,No,No,4,"SAT,ACT",1490,33,Public (non-charter),No,9,1,Yes,No,Yes,Yes,Muslim,Religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Neither
Pratt,No,Asian,Cis Man,Heterosexual,No,No,Yes,,,Singapore,Singapore,Urban,"$250,000-$500,000",No,Biomedical Engineering,Student life / campus culture,Very interested,Very interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,1,No,,Strongly agree,Dorm,A moderate amount,Moderately Likely,Very likely,Very likely,Neither likely or unlikely,Moderately Likely,Very likely,Very likely,Neither likely or unlikely,Neither likely nor unlikely,Yes,No,No,3.9,ACT,,35,Private (non-denominational),No,4,4,Yes,No,Yes,No,Hindu,Not very religious,Very liberal,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",No,,Online
Trinity,No,White,Cis Man,Heterosexual,No,No,No,NC,27707,,,Suburban,"$250,000-$500,000",No,Mathematics,Other,Not interested at all,Not interested at all,Neither more or less likely,,At Home,Other,Yes - to campus,,No,,,,Strongly favorable,Somewhat favorable,Don’t know,2,No,,Somewhat disagree,Clubs/Extracurriculars,A great deal,Very likely,Very likely,Very likely,Moderately unlikely,Very likely,Very likely,Moderately unlikely,Very unlikely,Moderately unlikely,Yes,No,No,4,SAT,1580,,Private (non-denominational),Yes,12,5,No,No,No,Yes,Atheist,Not at all religious,Somewhat liberal,Yes,Joe Biden,Home (Durham),Yes,,No,,Online
Pratt,No,White,Cis Man,Prefer not to say,No,No,No,NY,12944,,,Rural,"$250,000-$500,000",No,Electrical and Computer Engineering,Student life / campus culture,Not interested at all,Slightly interested,Neither more or less likely,Other,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,2,No,,Strongly agree,Dorm,A little,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Very likely,Moderately Likely,Neither likely or unlikely,Neither likely or unlikely,Neither likely nor unlikely,Yes,No,No,4,SAT,1600,,Public (non-charter),Yes,5,2,Yes,No,Yes,No,Atheist,Not very religious,Somewhat liberal,Ineligible to vote,,,Ineligible to vote,,No,,Neither
Trinity,Yes,"White,Black or African American",Cis Woman,Heterosexual,No,No,No,NC,27703,,,Suburban,"$40,000-$80,000",Yes,Biology,Academics and interdisciplinary curriculum,Very interested,Extremely interested,Much less likely,Meeting new people,On campus,,,Unsure,No,,No,No,Strongly favorable,Somewhat favorable,Somewhat unfavorable,2,No,,Somewhat disagree,Classes,A great deal,Very likely,Very likely,Moderately Likely,Moderately Likely,Neither likely or unlikely,Very likely,Moderately unlikely,Moderately unlikely,Moderately likely,Yes,No,Yes,3.9,"SAT,ACT",1380,32,Other,No,16,12,No,No,No,No,Other,Very religious,Somewhat conservative,Yes,Joe Biden,Home (Durham),Ineligible to vote,"Drank alcohol,Used drugs",Yes,Yes,Online
Trinity,No,"White,Asian",Cis Woman,Heterosexual,Yes,No,No,OH,44301,,,Urban,"$125,000-$250,000",Yes,Global Health**,Academics and interdisciplinary curriculum,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,No opinion,Strongly favorable,0,No,,Somewhat disagree,Dorm,A moderate amount,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Neither likely or unlikely,Moderately Likely,Moderately unlikely,Yes,No,No,4,ACT,,36,Private (parochial),No,13,3,No,No,No,No,Atheist,Not at all religious,Moderate,Yes,Joe Biden,Home (Not Durham),No,Had sex,Yes,No,Online
Trinity,No,Black or African American,Cis Man,Heterosexual,No,Yes,No,NY,10032,,,Urban,"$80,000-$125,000",Yes,Cultural Anthropology,Athletics,Moderately interested,Slightly interested,Neither more or less likely,Cultural connection,On campus,,,Staying on campus,Yes,Neither favorable nor unfavorable,No,Yes,Strongly favorable,Somewhat unfavorable,Strongly favorable,1,No,,Somewhat agree,Clubs/Extracurriculars,A lot,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Neither likely or unlikely,Very unlikely,Yes,Prefer not to say,No,3.3,SAT,1340,,Private (non-denominational),No,1,1,Yes,No,Yes,No,Protestant,Very religious,Very liberal,Yes,Joe Biden,Durham,Yes,Drank alcohol,No,,Print
Pratt,Yes,White,Cis Woman,Heterosexual,No,No,No,WI,54935,,,Suburban,"$80,000-$125,000",Yes,Biomedical Engineering,Academics and interdisciplinary curriculum,Moderately interested,Very interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,Strongly favorable,0,Yes,0,Strongly agree,Dorm,A moderate amount,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately unlikely,Moderately unlikely,Moderately unlikely,Yes,No,No,4,ACT,,34,Private (parochial),No,8,8,Yes,No,Yes,No,Catholic,Somewhat religious,Moderate,Yes,Joe Biden,Home (Not Durham),No,"Drank alcohol,Obtained a fake ID",No,,Online
Pratt,No,White,Cis Man,Heterosexual,No,Yes,No,IN,46234,,,Suburban,"$80,000-$125,000",No,Biomedical Engineering,Academics and interdisciplinary curriculum,Slightly interested,Moderately interested,Much less likely,Meeting new people,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat favorable,Somewhat favorable,1,No,,Strongly agree,Other,A moderate amount,Very likely,Very likely,Moderately Likely,Neither likely or unlikely,Very likely,Very likely,Neither likely or unlikely,Neither likely or unlikely,Very unlikely,Yes,No,No,3.95,"SAT,ACT",1460,34,Private (parochial),No,1,1,No,No,Yes,No,Agnostic,Somewhat religious,Moderate,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",No,,Print
Trinity,No,Asian,Cis Man,Heterosexual,Yes,No,No,CA,93035,,,Suburban,"Below $40,000",Yes,Biomedical Engineering,Financial aid award / scholarship,Moderately interested,Slightly interested,Less likely,Wanting to belong in a social group,On campus,,,Going back home,No,,No,No,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,1,No,,Somewhat agree,Other,A great deal,Very likely,Very likely,Neither likely or unlikely,Moderately unlikely,Moderately Likely,Moderately Likely,Moderately unlikely,Moderately unlikely,Neither likely nor unlikely,No,Yes — furloughed,No,4,SAT,1450,,Public (non-charter),No,1,1,Yes,No,No,No,Agnostic,Not at all religious,Moderate,Yes,Joe Biden,Home (Not Durham),No,"Drank alcohol,Used drugs,Had sex",Yes,No,Online
Trinity,Yes,"Asian,Native Hawaiian or Pacific Islander",Cis Woman,Heterosexual,No,No,No,PA,19060,,,Suburban,"Above $500,000",No,Psychology,Pre-professional opportunities and alumni network,Very interested,Very interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat favorable,Somewhat favorable,0,No,,Somewhat agree,Dorm,A great deal,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Moderately Likely,Neither likely or unlikely,Neither likely or unlikely,Moderately likely,Yes,No,Yes,4,ACT,,35,Private (parochial),Yes,2,2,Yes,No,Yes,No,Catholic,Religious,Somewhat conservative,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Had sex",No,,Online
Trinity,Yes,White,Cis Man,Heterosexual,No,No,No,NC,30328,,,Suburban,"$250,000-$500,000",No,Computer Science,Student life / campus culture,Very interested,Very interested,Much less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat unfavorable,Strongly unfavorable,Strongly unfavorable,0,No,,Strongly disagree,Dorm,A great deal,Very likely,Very likely,Moderately Likely,Neither likely or unlikely,Very likely,Very likely,Neither likely or unlikely,Moderately Likely,Very unlikely,Yes,No,No,4,ACT,,31,Public (charter),Yes,4,4,Yes,No,Yes,Yes,Agnostic,Not at all religious,Somewhat liberal,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",Yes,Yes,Online
Pratt,No,Asian,Cis Woman,Bisexual,No,No,No,NC,27517,,,Suburban,"Above $500,000",No,Biomedical Engineering,Academics and interdisciplinary curriculum,Slightly interested,Moderately interested,Less likely,Meeting new people,On campus,,,Going back home,No,,No,Yes,Strongly unfavorable,Strongly unfavorable,Somewhat unfavorable,2,Yes,1,Somewhat agree,Dorm,A great deal,Very likely,Very likely,Moderately unlikely,Very unlikely,Very likely,Very likely,Moderately unlikely,Very unlikely,Very unlikely,Yes,No,No,4,"SAT,ACT",1540,34,Public (non-charter),No,5,1,Yes,No,Yes,No,Atheist,Not at all religious,Somewhat liberal,Yes,Joe Biden,Home (Durham),Yes,"Drank alcohol,Used drugs",Yes,Yes,Neither
Trinity,No,"White,Black or African American",Cis Woman,Heterosexual,No,No,No,NC,27705,,,Suburban,"$80,000-$125,000",Yes,Political Science,"Duke’s ""brand name""",Moderately interested,Very interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly favorable,Somewhat favorable,0,No,,Somewhat disagree,Other,A great deal,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,4,SAT,1430,,Private (parochial),No,7,7,No,No,Yes,Yes,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Durham,Yes,,No,,Neither
Pratt,No,Other,Cis Woman,Heterosexual,No,No,No,NC,28277,,,Urban,"$125,000-$250,000",No,Biomedical Engineering,Academics and interdisciplinary curriculum,Not interested at all,Not interested at all,Neither more or less likely,,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly favorable,Strongly favorable,1,No,,Somewhat disagree,Clubs/Extracurriculars,A moderate amount,Very likely,Very likely,Very likely,Very likely,Very likely,Very likely,Neither likely or unlikely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,4,"SAT,ACT",1560,35,Public (non-charter),No,3,2,Yes,No,Yes,No,Catholic,Religious,Somewhat liberal,Yes,Joe Biden,Durham,No,,Prefer not to say,,Online
Trinity,No,White,Cis Man,Heterosexual,No,No,No,NC,28036,,,Suburban,"$80,000-$125,000",No,Computer Science,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,Other,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat unfavorable,Somewhat favorable,1,Yes,0,Somewhat agree,Classes,A lot,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Neither likely or unlikely,Moderately unlikely,Moderately unlikely,Very unlikely,Yes,No,No,3.67,"SAT,ACT",1540,36,Public (non-charter),Yes,8,2,Yes,No,Yes,No,Agnostic,Not very religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Online
Pratt,No,White,Cis Woman,Questioning,No,No,No,SC,29501,,,Rural,"Above $500,000",No,Civil Engineering,Academics and interdisciplinary curriculum,Not interested at all,Moderately interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly favorable,Strongly favorable,1,No,,Neither agree nor disagree,Dorm,A lot,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Neither likely nor unlikely,Yes,No,No,4,"SAT,ACT",1560,35,Private (non-denominational),No,14,9,No,No,No,No,Protestant,Not very religious,Moderate,Yes,Joe Biden,Home (Not Durham),Yes,Drank alcohol,No,,Online
Trinity,No,White,Cis Man,Heterosexual,No,No,No,NC,28105,,,Suburban,"$250,000-$500,000",No,Public Policy Studies,Student life / campus culture,Not interested at all,Moderately interested,Less likely,Meeting new people,On campus,,,Staying on campus,No,,No,Yes,Strongly favorable,Somewhat favorable,Strongly favorable,2,Yes,1,Strongly agree,Other,A moderate amount,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately Likely,Very likely,Moderately Likely,Neither likely or unlikely,Neither likely nor unlikely,Yes,No,No,4,"SAT,ACT",1540,35,Private (non-denominational),No,13,9,No,No,No,No,Agnostic,Not very religious,Very liberal,Yes,Joe Biden,Home (Durham),Yes,"Drank alcohol,Used drugs,Had sex",No,,Print and Online
Trinity,No,Black or African American,Cis Man,Bisexual,No,No,No,NC,28472,,,Rural,"$80,000-$125,000",Yes,Biology,Academics and interdisciplinary curriculum,Moderately interested,Moderately interested,Neither more or less likely,Cultural connection,On campus,,,Staying on campus,No,,No,Yes,Somewhat favorable,Somewhat favorable,Strongly favorable,0,No,,Somewhat agree,Dorm,A great deal,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately unlikely,Yes,No,No,4,ACT,,32,Public (non-charter),No,8,4,Yes,No,Yes,No,Protestant,Somewhat religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,"Drank alcohol,Used drugs",No,,Online
Trinity,No,White,Cis Woman,Bisexual,No,No,No,New York,10065,,,Urban,"Above $500,000",No,Psychology,Other,Not interested at all,Slightly interested,Neither more or less likely,Other,On campus,,,Unsure,No,,No,No,Somewhat favorable,Strongly unfavorable,Strongly favorable,2,Yes,1,Somewhat agree,Other,A great deal,Very likely,Very likely,Very likely,Very likely,Moderately unlikely,Moderately Likely,Moderately unlikely,Very unlikely,Moderately likely,Yes,No,No,,ACT,,34,Private (non-denominational),Yes,2,2,Yes,No,Yes,No,Atheist,Not at all religious,Very liberal,Yes,Joe Biden,Durham,Ineligible to vote,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",Yes,No,Neither
Pratt,No,White,Cis Man,Heterosexual,No,No,No,NY,12309,,,Suburban,"$125,000-$250,000",No,Mechanical Engineering,Student life / campus culture,Extremely interested,Moderately interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Somewhat favorable,Somewhat favorable,No opinion,2,No,,Somewhat agree,Dorm,A great deal,Very likely,Very likely,Moderately unlikely,Neither likely or unlikely,Very likely,Very likely,Moderately unlikely,Neither likely or unlikely,Neither likely nor unlikely,Yes,No,No,4,SAT,1550,,Public (non-charter),Yes,12,5,No,No,No,Yes,Agnostic,Not at all religious,Very liberal,Yes,Joe Biden,Durham,Yes,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID",No,,Online
Trinity,Yes,White,Cis Man,Heterosexual,No,No,No,FL,33175,,,Suburban,"Above $500,000",No,Global Health**,Academics and interdisciplinary curriculum,Moderately interested,Moderately interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly favorable,Strongly favorable,1,Yes,1,Strongly agree,Dorm,A lot,Very likely,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Moderately unlikely,Moderately unlikely,Moderately likely,Yes,No,No,3.98,ACT,,35,Private (parochial),Yes,6,4,No,No,Yes,No,Catholic,Somewhat religious,Somewhat liberal,Yes,Joe Biden,Home (Not Durham),No,,Yes,No,Online
Pratt,No,White,Cis Woman,Heterosexual,No,No,No,TX,75044,,,Suburban,"$250,000-$500,000",No,Civil Engineering,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,Wanting to belong in a social group,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Strongly favorable,Strongly favorable,2,Yes,2,Somewhat agree,Clubs/Extracurriculars,A lot,Very likely,Very likely,Moderately Likely,Moderately Likely,Very likely,Moderately Likely,Moderately Likely,Neither likely or unlikely,Neither likely nor unlikely,Yes,No,No,4,"SAT,ACT",1510,35,Public (non-charter),No,8,5,No,No,No,No,Protestant,Very religious,Moderate,Yes,Joe Biden,Home (Not Durham),Yes,,No,,Print and Online
Trinity,No,Asian,Cis Woman,Questioning,No,No,No,VA,23229,,,Suburban,"$125,000-$250,000",Yes,Public Policy Studies,Academics and interdisciplinary curriculum,Not interested at all,Slightly interested,Neither more or less likely,Meeting new people,On campus,,,Staying on campus,No,,No,No,Strongly favorable,Somewhat favorable,Strongly favorable,2,Yes,1,Strongly agree,Dorm,A little,Very likely,Very likely,Very likely,Moderately Likely,Very likely,Very likely,Moderately Likely,Moderately Likely,Moderately likely,Yes,Yes — furloughed,No,4,SAT,1550,,Public (non-charter),No,1,1,Yes,No,Yes,Yes,Catholic,Somewhat religious,Very liberal,Yes,Joe Biden,Home (Not Durham),Yes,Drank alcohol,No,,Print and Online
